position,velocity,context_0,context_1,context_2
-5.6,-0.19999999999999973,True,True,True
-5.6,0.0,True,True,True
-5.6,0.20000000000000018,True,True,True
-5.6,0.40000000000000036,True,True,True
-5.6,0.6000000000000005,True,True,True
-5.6,0.8000000000000007,True,True,True
-5.6,1.0,True,True,True
-5.6,1.2000000000000002,True,True,True
-5.6,1.4000000000000004,True,True,True
-5.6,1.6000000000000005,True,True,True
-5.6,1.8000000000000007,True,True,True
-5.6,2.0,True,True,True
-5.6,2.2,True,True,True
-5.6,2.4000000000000004,True,True,True
-5.6,2.6000000000000005,True,True,True
-5.6,2.8000000000000007,True,True,True
-5.6,3.0,True,True,True
-5.6,3.2,True,True,True
-5.6,3.4000000000000004,True,True,True
-5.6,3.6000000000000005,True,True,True
-5.6,3.8000000000000007,True,True,True
-5.6,4.0,True,True,True
-5.333333333333334,-4.0,False,False,False
-5.333333333333334,-3.8,False,False,False
-5.333333333333334,-3.6,False,False,False
-5.333333333333334,-3.4,False,False,False
-5.333333333333334,-3.2,False,False,False
-5.333333333333334,-3.0,False,False,False
-5.333333333333334,-2.8,False,False,False
-5.333333333333334,-2.5999999999999996,True,True,True
-5.333333333333334,-2.4,True,True,True
-5.333333333333334,-2.2,True,True,True
-5.333333333333334,-2.0,True,True,True
-5.333333333333334,-1.7999999999999998,True,True,True
-5.333333333333334,-1.5999999999999996,True,True,True
-5.333333333333334,-1.4,True,True,True
-5.333333333333334,-1.1999999999999997,True,True,True
-5.333333333333334,-1.0,True,True,True
-5.333333333333334,-0.7999999999999998,True,True,True
-5.333333333333334,-0.5999999999999996,True,True,True
-5.333333333333334,-0.3999999999999999,True,True,True
-5.333333333333334,-0.19999999999999973,True,True,True
-5.333333333333334,0.0,True,True,True
-5.333333333333334,0.20000000000000018,True,True,True
-5.333333333333334,0.40000000000000036,True,True,True
-5.333333333333334,0.6000000000000005,True,True,True
-5.333333333333334,0.8000000000000007,True,True,True
-5.333333333333334,1.0,True,True,True
-5.333333333333334,1.2000000000000002,True,True,True
-5.333333333333334,1.4000000000000004,True,True,True
-5.333333333333334,1.6000000000000005,True,True,True
-5.333333333333334,1.8000000000000007,True,True,True
-5.333333333333334,2.0,True,True,True
-5.333333333333334,2.2,True,True,True
-5.333333333333334,2.4000000000000004,True,True,True
-5.333333333333334,2.6000000000000005,True,True,True
-5.333333333333334,2.8000000000000007,True,True,True
-5.333333333333334,3.0,True,True,True
-5.333333333333334,3.2,True,True,True
-5.333333333333334,3.4000000000000004,True,True,True
-5.333333333333334,3.6000000000000005,True,True,True
-5.333333333333334,3.8000000000000007,True,True,True
-5.333333333333334,4.0,True,True,True
-5.066666666666666,-4.0,False,False,False
-5.066666666666666,-3.8,False,False,False
-5.066666666666666,-3.6,False,False,False
-5.066666666666666,-3.4,False,False,False
-5.066666666666666,-3.2,False,False,False
-5.066666666666666,-3.0,False,False,False
-5.066666666666666,-2.8,True,True,True
-5.066666666666666,-2.5999999999999996,True,True,True
-5.066666666666666,-2.4,True,True,True
-5.066666666666666,-2.2,True,True,True
-5.066666666666666,-2.0,True,True,True
-5.066666666666666,-1.7999999999999998,True,True,True
-5.066666666666666,-1.5999999999999996,True,True,True
-5.066666666666666,-1.4,True,True,True
-5.066666666666666,-1.1999999999999997,True,True,True
-5.066666666666666,-1.0,True,True,True
-5.066666666666666,-0.7999999999999998,True,True,True
-5.066666666666666,-0.5999999999999996,True,True,True
-5.066666666666666,-0.3999999999999999,True,True,True
-5.066666666666666,-0.19999999999999973,True,True,True
-5.066666666666666,0.0,True,True,True
-5.066666666666666,0.20000000000000018,True,True,True
-5.066666666666666,0.40000000000000036,True,True,True
-5.066666666666666,0.6000000000000005,True,True,True
-5.066666666666666,0.8000000000000007,True,True,True
-5.066666666666666,1.0,True,True,True
-5.066666666666666,1.2000000000000002,True,True,True
-5.066666666666666,1.4000000000000004,True,True,True
-5.066666666666666,1.6000000000000005,True,True,True
-5.066666666666666,1.8000000000000007,True,True,True
-5.066666666666666,2.0,True,True,True
-5.066666666666666,2.2,True,True,True
-5.066666666666666,2.4000000000000004,True,True,True
-5.066666666666666,2.6000000000000005,True,True,True
-5.066666666666666,2.8000000000000007,True,True,True
-5.066666666666666,3.0,True,True,True
-5.066666666666666,3.2,True,True,True
